foi,duracao,notas,vel min,vel max
0,0.0004051,0,0.001,0.011
0,0.0004167,1,0.001,0.001
0,0.0004861,2,0.001,0.005
0,0.0004977,3,0.001,0.004
0,0.0005208,4,0.001,0.002
1,0.0005324,5,0.001,0.007
1,0.0005787,6,0.001,0.008
1,0.0005787,7,0.001,0.004
1,0.0005787,8,0.001,0.005
2,0.0005903,9,0.001,0.003
2,0.0006134,10,0.001,0.011
2,0.000625,,,
2,0.0006366,,,
2,0.0006366,,,
2,0.0006481,,,
2,0.0006597,,,
2,0.0006713,,,
2,0.0006713,,,
2,0.0006713,,,
2,0.0006829,,,
3,0.0006829,,,
3,0.0006829,,,
3,0.0006829,,,
3,0.0006829,,,
3,0.0006829,,,
3,0.0006829,,,
3,0.0006944,,,
3,0.0006944,,,
3,0.0006944,,,
3,0.000706,,,
3,0.0007176,,,
3,0.0007176,,,
3,0.0007176,,,
3,0.0007292,,,
3,0.0007292,,,
4,0.0007407,,,
4,0.0007523,,,
4,0.0007523,,,
4,0.0007523,,,
4,0.0007639,,,
4,0.0007639,,,
4,0.0007639,,,
4,0.0007639,,,
4,0.0007755,,,
4,0.0007755,,,
4,0.000787,,,
4,0.000787,,,
4,0.0007986,,,
4,0.0008218,,,
5,0.0008218,,,
5,0.0008333,,,
5,0.0008449,,,
5,0.0008449,,,
5,0.0008449,,,
5,0.0008565,,,
5,0.0008565,,,
5,0.0008681,,,
5,0.0008681,,,
5,0.0008681,,,
5,0.0008796,,,
5,0.0008796,,,
5,0.0008796,,,
5,0.0008796,,,
5,0.0008796,,,
5,0.0008796,,,
5,0.0008912,,,
5,0.0008912,,,
5,0.0009028,,,
5,0.0009028,,,
5,0.0009144,,,
5,0.0009144,,,
5,0.0009144,,,
5,0.0009144,,,
5,0.0009259,,,
5,0.0009375,,,
5,0.0009375,,,
5,0.0009491,,,
5,0.0009491,,,
5,0.0009606,,,
6,0.0009606,,,
6,0.0009606,,,
6,0.0009606,,,
6,0.0009606,,,
6,0.0009722,,,
6,0.0009722,,,
6,0.0009954,,,
6,0.0010069,,,
6,0.0010069,,,
6,0.0010069,,,
6,0.0010069,,,
6,0.0010069,,,
6,0.0010185,,,
6,0.0010417,,,
6,0.0010532,,,
6,0.0010764,,,
6,0.001088,,,
6,0.001088,,,
6,0.0010995,,,
6,0.0011111,,,
6,0.0011111,,,
6,0.0011111,,,
6,0.0011111,,,
6,0.0011227,,,
6,0.0011343,,,
6,0.0011343,,,
6,0.0011458,,,
7,0.0011458,,,
7,0.0011458,,,
7,0.001169,,,
7,0.0011806,,,
7,0.0011806,,,
7,0.0011806,,,
7,0.0011806,,,
7,0.0012153,,,
7,0.0012269,,,
7,0.0012269,,,
7,0.0012384,,,
7,0.0012384,,,
7,0.0012616,,,
7,0.0012731,,,
7,0.0012731,,,
7,0.0012963,,,
7,0.0012963,,,
7,0.0012963,,,
7,0.0012963,,,
7,0.0012963,,,
7,0.0012963,,,
7,0.0013079,,,
7,0.001331,,,
7,0.001331,,,
7,0.0013542,,,
7,0.0013657,,,
7,0.0013657,,,
7,0.0013657,,,
7,0.0013657,,,
7,0.0013773,,,
7,0.0013773,,,
7,0.0013889,,,
7,0.0013889,,,
7,0.0013889,,,
7,0.0013889,,,
7,0.0014005,,,
8,0.0014005,,,
8,0.0014005,,,
8,0.0014005,,,
8,0.001412,,,
8,0.001412,,,
8,0.0014352,,,
8,0.0014815,,,
8,0.0014815,,,
8,0.0014931,,,
8,0.0014931,,,
8,0.0015162,,,
8,0.0015278,,,
8,0.0015509,,,
8,0.0015509,,,
8,0.0015741,,,
8,0.0015856,,,
8,0.0016435,,,
8,0.0016782,,,
8,0.0016782,,,
8,0.0016782,,,
8,0.0016898,,,
8,0.0017014,,,
8,0.0017014,,,
8,0.001713,,,
8,0.001713,,,
8,0.0017593,,,
8,0.0017593,,,
8,0.0017708,,,
8,0.0017824,,,
9,0.0017824,,,
9,0.001794,,,
9,0.0018287,,,
9,0.0018403,,,
9,0.0018403,,,
9,0.0018634,,,
9,0.0018634,,,
9,0.001875,,,
9,0.0018866,,,
9,0.0018981,,,
9,0.0019097,,,
9,0.0019213,,,
10,0.0019213,,,
10,0.0019329,,,
10,0.001956,,,
10,0.0019907,,,
10,0.0019907,,,
10,0.0020139,,,
10,0.0020139,,,
10,0.0020255,,,
10,0.0020718,,,
10,0.0021065,,,
10,0.0021412,,,
10,0.0022222,,,
10,0.0022222,,,
10,0.0022338,,,
10,0.0022454,,,
10,0.0022454,,,
10,0.0022917,,,
10,0.0023264,,,
10,0.002419,,,
10,0.0025694,,,
10,0.0026505,,,
10,0.0026505,,,
10,0.0028009,,,
10,0.0028009,,,
10,0.0031597,,,
10,0.0032523,,,
10,0.0032755,,,
10,0.0033681,,,
10,0.0034028,,,
10,0.0034838,,,
10,0.0034838,,,
10,0.003588,,,
10,0.0036806,,,
10,0.0037616,,,
10,0.0043287,,,
10,0.0047454,,,
10,0.0047685,,,
10,0.0051042,,,
10,0.0053704,,,
10,0.0066435,,,
10,0.0072338,,,
10,0.0087037,,,
10,0.011088,,,
10,0.0117708,,,
